ID	Title	Genres	Overview	Release Date	revenue	Running Time (minutes)	tagline	MPAA Rating	Actors
3063	Big	"Fantasy, Drama, Comedy, Romance, Family"	"A young boy, Josh Baskin makes a wish at a carnival machine to be big. He wakes up the following morning to find that it has been granted and his body has grown older overnight. But he is still the same 13-year-old boy inside. Now he must learn how to cope with the unfamiliar world of grown-ups including getting a job and having his first romantic encounter with a woman. What will he find out about this strange world?"	6/3/1988	151668774	104	You're Only Young Once But For Josh It Might Just Last A Lifetime.	PG	"Tom Hanks, Elizabeth Perkins, Robert Loggia, John Heard, Jared Rushton, David Moscow"
3064	The Land Before Time	"Animation, Adventure, Family"	"An orphaned brontosaurus named Littlefoot sets off in search of the legendary Great Valley. A land of lush vegetation where the dinosaurs can thrive and live in peace. Along the way he meets four other young dinosaurs, each one a different species, and they encounter several obstacles as they learn to work together in order to survive."	11/18/1988	84460846	69	A new adventure is born.	G	"Gabriel Damon, Candace Hutson, Judith Barsi, Will Ryan, Pat Hingle, Helen Shaver"
3065	Rain Man	Drama	Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.	12/11/1988	412800000	133	A journey through understanding and fellowship.	R	"Dustin Hoffman, Tom Cruise, Valeria Golino, Gerald R. Molen, Jack Murdock, Michael D. Roberts"
3066	Bill & Ted's Excellent Adventure	"Adventure, Comedy, Science Fiction"	"In the small town of San Dimas, a few miles away from Los Angeles, there are two nearly brain dead teenage boys going by the names of Bill S, Preston ESQ. and Ted Theodore Logan, they have a dream together of starting their own rock and roll band called the ""Wyld Stallyns"". Unfortunately, they are still in high school and on the verge of failing out of their school as well, and if they do not pass their upcoming history report, they will be separated as a result of Ted's father sending him to military school. But, what Bill and Ted do not know is that they must stay together to save the future. So, a man from the future named Rufus came to help them pass their report. So, both Bill and Ted decided to gather up historical figures which they need for their report. They are hoping that this will help them pass their report so they can stay together."	2/17/1989	40485039	90	History is about to be rewritten by two guys who can't spell.	PG	"Keanu Reeves, Alex Winter, George Carlin, Dan Shor, Hal Landon Jr., Amy Stock-Poynton"
3067	Dead Poets Society	Drama	"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster."	6/2/1989	235860116	129	He was their inspiration. He made their lives extraordinary.	PG	"Robin Williams, Ethan Hawke, Robert Sean Leonard, Gale Hansen, Josh Charles, Dylan Kussman"
3068	When Harry Met Sally...	"Comedy, Romance, Drama"	"During their travels from Chicago to New York, Harry and Sally Will debate whether or not sex ruins a perfect relationship between a man and a woman. Eleven years and later, they're still no closer to finding the answer."	7/21/1989	92823546	96	Can two friends sleep together and still love each other in the morning?	R	"Meg Ryan, Billy Crystal, Carrie Fisher, Bruno Kirby, Steven Ford, Lisa Jane Persky"
3069	Back to the Future Part II	"Adventure, Comedy, Family, Science Fiction"	"Marty and Doc are at it again in this wacky sequel to the 1985 blockbuster as the time-traveling duo head to 2015 to nip some McFly family woes in the bud. But things go awry thanks to bully Biff Tannen and a pesky sports almanac. In a last-ditch attempt to set things straight, Marty finds himself bound for 1955 and face to face with his teenage parents -- again."	11/20/1989	332000000	108	"Roads? Where we're going, we don't need roads!"	PG	"Michael J. Fox, Christopher Lloyd, Lea Thompson, Elisabeth Shue, James Tolkan, Jeffrey Weissman"
3070	Back to the Future Part III	"Adventure, Comedy, Family, Science Fiction"	"The final installment of the Back to the Future trilogy finds Marty digging the trusty DeLorean out of a mineshaft and looking up Doc in the Wild West of 1885. But when their time machine breaks down, the travelers are stranded in a land of spurs. More problems arise when Doc falls for pretty schoolteacher Clara Clayton, and Marty tangles with Buford Tannen."	5/25/1990	244527583	118	They've saved the best trip for last... But this time they may have gone too far.	PG	"Michael J. Fox, Christopher Lloyd, Mary Steenburgen, Thomas F. Wilson, Lea Thompson, Elisabeth Shue"
3071	Robin Hood: Prince of Thieves	Adventure	"When the dastardly Sheriff of Nottingham murders Robin's father, the legendary archer vows vengeance. To accomplish his mission, Robin joins forces with a band of exiled villagers (and comely Maid Marian), and together they battle to end the evil sheriff's reign of terror."	6/14/1991	390493908	143	"For the good of all men, and the love of one woman, he fought to uphold justice by breaking the law."	PG-13	"Kevin Costner, Morgan Freeman, Christian Slater, Mary Elizabeth Mastrantonio, Alan Rickman, Geraldine McEwan"
3072	Wayne's World	Comedy	"When a sleazy TV exec offers Wayne and Garth a fat contract to tape their late-night public access show at his network, they can't believe their good fortune. But they soon discover the road from basement to big-time is a gnarly one, fraught with danger, temptation and ragin' party opportunities."	2/14/1992	121697323	94	You'll laugh. You'll cry. You'll hurl.	PG-13	"Mike Myers, Dana Carvey, Rob Lowe, Tia Carrere, Lara Flynn Boyle, Chris Farley"
3073	A League of Their Own	Comedy	"Small-town sisters Dottie and Kit join an all-female baseball league formed after World War II brings pro baseball to a standstill. When their team hits the road with its drunken coach, the siblings find troubles and triumphs on and off the field."	7/1/1992	107458785	128	"To achieve the incredible, you have to attempt the impossible."	PG	"Tom Hanks, Geena Davis, Madonna, Lori Petty, Jon Lovitz, David Strathairn"
3074	The Last of the Mohicans	"Action, Adventure, Drama, History, Romance, War"	"As the English and French soldiers battle for control of the American colonies in the 18th century, the settlers and native Americans are forced to take sides. Cora and her sister Alice unwittingly walk into trouble but are reluctantly saved by Hawkeye, an orphaned settler adopted by the last of the Mohicans."	9/25/1992	75505856	112	The first American hero.	R	"Daniel Day-Lewis, Madeleine Stowe, Russell Means, Eric Schweig, Jodhi May, Steven Waddington"
3075	Aladdin	"Animation, Family, Comedy, Adventure, Fantasy, Romance"	"Princess Jasmine grows tired of being forced to remain in the palace and she sneaks out into the marketplace  in disguise where she meets street-urchin Aladdin and the two fall in love, although she may only marry a prince. After being thrown in jail, Aladdin and becomes embroiled in a plot to find a mysterious lamp with which the evil Jafar hopes to rule the land."	11/25/1992	504050219	90	Wish granted!	G	"Scott Weinger, Robin Williams, Linda Larkin, Jonathan Freeman, Frank Welker, Gilbert Gottfried"
3076	The Muppet Christmas Carol	"Comedy, Family, Fantasy, Drama"	"A retelling of the classic Dickens tale of Ebenezer Scrooge, miser extraordinaire. He is held accountable for his dastardly ways during night-time visitations by the Ghosts of Christmas Past, Present, and future."	12/10/1992	27281507	85		G	"Michael Caine, Don Austen, Meredith Braun, Don Austen, Ed Sanders, Dave Goelz"
3077	A Few Good Men	Drama	"When cocky military lawyer Lt. Daniel Kaffee and his co-counsel, Lt. Cmdr. JoAnne Galloway, are assigned to a murder case, they uncover a hazing ritual that could implicate high-ranking officials such as shady Col. Nathan Jessep."	12/11/1992	243240178	138	You can't handle the truth!	R	"Tom Cruise, Jack Nicholson, Demi Moore, Kevin Bacon, Kevin Pollak, James Marshall"
3078	Jurassic Park	"Adventure, Science Fiction"	"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape."	6/11/1993	920100000	127	An adventure 65 million years in the making.	PG-13	"Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough, Bob Peck, Martin Ferrero"
3079	Hocus Pocus	"Comedy, Family, Fantasy"	"After 300 years of slumber, three sister witches are accidentally resurrected in Salem on Halloween night, and it us up to three kids and their newfound feline friend to put an end to the witches' reign of terror once and for all."	7/16/1993	39514713	96	It's just a bunch of Hocus Pocus.	PG	"Bette Midler, Sarah Jessica Parker, Kathy Najimy, Omri Katz, Thora Birch, Vinessa Shaw"
3080	Dazed and Confused	"Comedy, Drama"	"The adventures of a group of Texas teens on their last day of school in 1976, centering on student Randall Floyd, who moves easily among stoners, jocks and geeks. Floyd is a star athlete, but he also likes smoking weed, which presents a conundrum when his football coach demands he sign a ""no drugs"" pledge."	9/24/1993	7993039	102	See it with a bud.	R	"Jason London, Rory Cochrane, Wiley Wiggins, Sasha Jenson, Michelle Burke, Adam Goldberg"
3081	Four Weddings and a Funeral	"Comedy, Drama, Romance"	Four Weddings And A Funeral is a British comedy about a British Man named Charles and an American Woman named Carrie who go through numerous weddings before they determine if they are right for one another.	3/9/1994	254700832	117	Five good reasons to stay single.	R	"Hugh Grant, Andie MacDowell, James Fleet, Simon Callow, John Hannah, Kristin Scott Thomas"
3082	The Lion King	"Family, Animation, Drama"	A young lion cub named Simba can't wait to be king. But his uncle craves the title for himself and will stop at nothing to get it.	6/23/1994	788241776	89	Life's greatest adventure is finding your place in the Circle of Life.	G	"Jonathan Taylor Thomas, Matthew Broderick, James Earl Jones, Jeremy Irons, Moira Kelly, Niketa Calame"
3083	Forrest Gump	"Comedy, Drama, Romance"	"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability."	7/6/1994	677945399	142	"The world will never be the same, once you've seen it through the eyes of Forrest Gump."	PG-13	"Tom Hanks, Robin Wright, Gary Sinise, Mykelti Williamson, Sally Field, Michael Conner Humphreys"
3084	The Shawshank Redemption	"Drama, Crime"	"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope."	9/23/1994	28341469	142	Fear can hold you prisoner. Hope can set you free.	R	"Tim Robbins, Morgan Freeman, Bob Gunton, Clancy Brown, Mark Rolston, James Whitmore"
3085	Pulp Fiction	"Thriller, Crime"	"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time."	10/8/1994	213928762	154	Just because you are a character doesn't mean you have character.	R	"John Travolta, Samuel L. Jackson, Uma Thurman, Bruce Willis, Ving Rhames, Harvey Keitel"
3086	The Usual Suspects	"Drama, Crime, Thriller"	"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess."	7/19/1995	23341568	106	Five Criminals. One Line Up. No Coincidence.	R	"Stephen Baldwin, Gabriel Byrne, Chazz Palminteri, Kevin Pollak, Pete Postlethwaite, Kevin Spacey"
3087	Toy Story	"Animation, Comedy, Family"	"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences."	10/30/1995	373554033	81	Hang on for the comedy that goes to infinity and beyond!	G	"Tom Hanks, Tim Allen, Don Rickles, Jim Varney, Wallace Shawn, John Ratzenberger"
3088	Sense and Sensibility	"Drama, Romance"	"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites."	12/13/1995	135000000	136	Lose your heart and come to your senses.	PG	"Kate Winslet, Emma Thompson, Hugh Grant, Tom Wilkinson, Alan Rickman, Imogen Stubbs"
3089	Mission: Impossible	"Adventure, Action, Thriller"	"When Ethan Hunt, the leader of a crack espionage team whose perilous operation has gone awry with no explanation, discovers that a mole has penetrated the CIA, he's surprised to learn that he's the No. 1 suspect. To clear his name, Hunt now must ferret out the real double agent and, in the process, even the score."	5/22/1996	457696359	110	Expect the Impossible.	PG-13	"Tom Cruise, Jon Voight, Emmanuelle Beart, Henry Czerny, Jean Reno, Ving Rhames"
3090	Independence Day	"Action, Adventure, Science Fiction"	"On July 2, a giant alien mothership enters orbit around Earth and deploys several dozen saucer-shaped 'destroyer' spacecraft that quickly lay waste to major cities around the planet. On July 3, the United States conducts a coordinated counterattack that fails. On July 4, a plan is devised to gain access to the interior of the alien mothership in space, in order to plant a nuclear missile."	6/25/1996	816969268	145	Earth. Take a good look. It might be your last.	PG-13	"Will Smith, Bill Pullman, Jeff Goldblum, Mary McDonnell, Judd Hirsch, Robert Loggia"
3091	Austin Powers: International Man of Mystery	"Science Fiction, Comedy, Crime"	"As a swingin' fashion photographer by day and a groovy British superagent by night, Austin Powers is the '60s' most shagadelic spy, baby! But can he stop megalomaniac Dr. Evil after the bald villain freezes himself and unthaws in the '90s? With the help of sexy sidekick Vanessa Kensington, he just might."	5/2/1997	67683989	94	"If he were any cooler, he'd still be frozen, baby!"	PG-13	"Mike Myers, Elizabeth Hurley, Michael York, Mimi Rogers, Seth Green, Fabiana Udenio"
3092	Men in Black	"Action, Adventure, Comedy, Science Fiction"	"Men in Black follows the exploits of agents Kay and Jay, members of a top-secret organization established to monitor and police alien activity on Earth. The two Men in Black find themselves in the middle of the deadly plot by an intergalactic terrorist who has arrived on Earth to assassinate two ambassadors from opposing galaxies. In order to prevent worlds from colliding, the MiB must track down the terrorist and prevent the destruction of Earth. It's just another typical day for the Men in Black."	7/2/1997	589390539	98	Protecting the Earth from the scum of the universe.	PG-13	"Tommy Lee Jones, Will Smith, Linda Fiorentino, Vincent D'Onofrio, Rip Torn, Tony Shalhoub"
3093	Titanic	"Drama, Romance, Thriller"	"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning."	11/18/1997	1845034188	194	Nothing on Earth could come between them.	PG-13	"Kate Winslet, Leonardo DiCaprio, Frances Fisher, Billy Zane, Kathy Bates, Gloria Stuart"
3094	The Big Lebowski	"Comedy, Crime"	"Jeffrey ""The Dude"" Lebowski, a Los Angeles slacker who only wants to bowl and drink white Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money."	3/6/1998	46189568	117	Times like these call for a Big Lebowski.	R	"Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi, Philip Seymour Hoffman, David Huddleston"
3095	Shakespeare in Love	"Romance, History"	"Young Shakespeare is forced to stage his latest comedy, ""Romeo and Ethel, the Pirate's Daughter,"" before it's even written. When a lovely noblewoman auditions for a role, they fall into forbidden love -- and his play finds a new life (and title). As their relationship progresses, Shakespeare's comedy soon transforms into tragedy."	12/11/1998	289317794	122	Love is the only inspiration.	R	"Joseph Fiennes, Gwyneth Paltrow, Geoffrey Rush, Tom Wilkinson, Judi Dench, Imelda Staunton"
3096	You've Got Mail	"Comedy, Romance"	"Book superstore magnate, Joe Fox and independent book shop owner, Kathleen Kelly fall in love in the anonymity of the Internet – both blissfully unaware that he's putting her out of business."	12/17/1998	250821495	119	Someone you pass on the street may already be the love of your life.	PG	"Tom Hanks, Meg Ryan, Katie Sagona, Greg Kinnear, Parker Posey, Jean Stapleton"
3097	Office Space	"Comedy, Crime"	Three office workers strike back at their evil employers by hatching a hapless attempt to embezzle money.	2/19/1999	12827813	89	Work sucks.	R	"Ron Livingston, Jennifer Aniston, David Herman, Ajay Naidu, Diedrich Bader, Stephen Root"
3098	Notting Hill	"Romance, Comedy, Drama"	The British comedy from director Roger Michell tells the love story between a famous actress and a simple book seller from London. A look into the attempt for famous people to have a personal and private life and the ramifications that follow. Nominated for three Golden Globes in 2000.	5/13/1999	363889678	124	Can the most famous film star in the world fall for the man on the street?	PG-13	"Julia Roberts, Hugh Grant, Gina McKee, Tim McInnerny, Rhys Ifans, Emma Chambers"
3099	Toy Story 2	"Animation, Comedy, Family"	"Andy heads off to Cowboy Camp, leaving his toys to their own devices. Things shift into high gear when an obsessive toy collector named Al McWhiggen, owner of Al's Toy Barn kidnaps Woody. Andy's toys mount a daring rescue mission, Buzz Lightyear meets his match and Woody has to decide where he and his heart truly belong."	10/30/1999	497366869	92	The toys are back!	G	"Tom Hanks, Tim Allen, Joan Cusack, Kelsey Grammer, Don Rickles, Jim Varney"
3100	Gladiator	"Action, Drama, Adventure"	"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos. Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor. As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed. He escapes, but is captured by slave traders. Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences. His battle skills serve him well, and he becomes one of the most famous and admired men to fight in the Colosseum. Determined to avenge himself against the man who took away his freedom and laid waste to his family, Maximus believes that he can use his fame and skill in the ring to avenge the loss of his family and former glory. As the gladiator begins to challenge his rule, Commodus decides to put his own fighting mettle to the test by squaring off with Maximus in a battle to the death."	5/1/2000	457640427	155	A Hero Will Rise.	R	"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed, Richard Harris, Derek Jacobi"
3101	Gone in Sixty Seconds	"Action, Crime, Thriller"	"Upon learning that he has to come out of retirement to steal 50 cars in one night to save his brother Kip's life, former car thief Randall ""Memphis"" Raines enlists help from a few ""boost happy"" pals to accomplish a seemingly impossible feat. From countless car chases to relentless cops, the high-octane excitement builds as Randall swerves around more than a few roadblocks to keep Kip alive."	6/9/2000	237202299	118	"Ice Cold, Hot Wired."	PG-13	"Nicolas Cage, Angelina Jolie, Giovanni Ribisi, Delroy Lindo, Will Patton, Christopher Eccleston"
3102	X-Men	"Adventure, Action, Science Fiction"	"Two mutants, Rogue and Wolverine, come to a private academy for their kind whose resident superhero team, the X-Men, must oppose a terrorist organization with similar powers."	7/13/2000	296339527	104	Evolution Begins	PG-13	"Patrick Stewart, Hugh Jackman, Ian McKellen, Halle Berry, Famke Janssen, James Marsden"
3103	Miss Congeniality	"Comedy, Crime, Action"	"When the local FBI office receives a letter from a terrorist known only as 'The Citizen', it's quickly determined that he's planning his next act at the Miss America beauty pageant. Because tough-as-nails Gracie Hart is the only female Agent at the office, she's chosen to go undercover as the contestant from New Jersey."	12/14/2000	212000000	111	Never Mess With An Agent In A Dress.	PG-13	"Sandra Bullock, Benjamin Bratt, Michael Caine, Candice Bergen, William Shatner, Ernie Hudson"
3104	Bridget Jones's Diary	"Comedy, Romance, Drama"	"A chaotic Bridget Jones meets a snobbish lawyer, and he soon enters her world of imperfections."	4/13/2001	281929795	97	Health Warning: Adopting Bridget's lifestyle could seriously damage your health.	R	"Renee Zellweger, Colin Firth, Hugh Grant, Gemma Jones, Jim Broadbent, James Callis"
3105	Legally Blonde	Comedy	"Elle Woods has it all. She's the president of her sorority, a Hawaiian Tropic girl, Miss June in her campus calendar, and, above all, a natural blonde. She dates the cutest fraternity boy on campus and wants nothing more than to be Mrs. Warner Huntington III. But, there's just one thing stopping Warner from popping the question: Elle is too blonde."	7/13/2001	141774679	96	Don't judge a book by its hair color!	PG-13	"Reese Witherspoon, Luke Wilson, Selma Blair, Matthew Davis, Victor Garber, Jennifer Coolidge"
3106	"Monsters, Inc."	"Animation, Comedy, Family"	"James Sullivan and Mike Wazowski are monsters, they earn their living scaring children and are the best in the business... even though they're more afraid of the children than they are of them. When a child accidentally enters their world, James and Mike suddenly find that kids are not to be afraid of and they uncover a conspiracy that could threaten all children across the world."	11/1/2001	562816256	92	We Scare Because We Care.	G	"John Goodman, Billy Crystal, Mary Gibbs, Steve Buscemi, James Coburn, Jennifer Tilly"
3107	Harry Potter and the Philosopher's Stone	"Adventure, Fantasy, Family"	"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard -- with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths -- and about the villain who's to blame."	11/16/2001	976475550	152	Let the Magic Begin.	PG	"Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris, Tom Felton, Robbie Coltrane"
3108	Ocean's Eleven	"Thriller, Crime"	"Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess."	12/7/2001	450717150	116	Are you in or out?	PG-13	"George Clooney, Brad Pitt, Matt Damon, Andy Garcia, Julia Roberts, Casey Affleck"
3109	Harry Potter and the Chamber of Secrets	"Adventure, Fantasy, Family"	"Ignoring threats to his life, Harry returns to Hogwarts to investigate – aided by Ron and Hermione – a mysterious series of attacks."	11/13/2002	876688482	161	Hogwarts is back in session.	PG	"Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris, Alan Rickman, Tom Felton"
3110	Finding Nemo	"Animation, Family"	"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way."	5/30/2003	940335536	100	"There are 3.7 trillion fish in the ocean, they're looking for one."	G	"Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe, Brad Garrett, Allison Janney"
3111	Love Actually	"Comedy, Romance, Drama"	Follows seemingly unrelated people as their lives begin to intertwine while they fall in – and out – of love. Affections languish and develop as Christmas draws near.	9/7/2003	244931766	135	The ultimate romantic comedy.	R	"Keira Knightley, Heike Makatsch, Emma Thompson, Laura Linney, Hugh Grant, January Jones"
3112	Elf	"Comedy, Family, Fantasy"	"When young Buddy falls into Santa's gift sack on Christmas Eve, he's transported back to the North Pole and raised as a toy-making elf by Santa's helpers. But as he grows into adulthood, he can't shake the nagging feeling that he doesn't belong. Buddy vows to visit Manhattan and find his real dad, a workaholic publisher."	10/9/2003	173398518	97	"This holiday, discover your inner elf."	PG	"Will Ferrell, James Caan, Zooey Deschanel, Mary Steenburgen, Daniel Tay, Ed Asner"
3113	Mean Girls	Comedy	"Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George."	4/30/2004	129042871	97	Welcome to girl world.	PG-13	"Lindsay Lohan, Rachel McAdams, Tim Meadows, Ana Gasteyer, Amy Poehler, Tina Fey"
3114	Harry Potter and the Prisoner of Azkaban	"Adventure, Fantasy, Family"	"Harry, Ron and Hermione return to Hogwarts for another magic-filled year. Harry comes face to face with danger yet again, this time in the form of escaped convict, Sirius Black – and turns to sympathetic Professor Lupin for help."	5/31/2004	789804554	141	Something wicked this way comes.	PG-13	"Daniel Radcliffe, Rupert Grint, Emma Watson, Gary Oldman, David Thewlis, Alan Rickman"
3115	Harry Potter and the Goblet of Fire	"Adventure, Fantasy, Family"	"Harry starts his fourth year at Hogwarts, competes in the treacherous Triwizard Tournament and faces the evil Lord Voldemort. Ron and Hermione help Harry manage the pressure – but Voldemort lurks, awaiting his chance to destroy Harry and all that he stands for."	11/5/2005	895921036	157	Dark And Difficult Times Lie Ahead.	PG-13	"Daniel Radcliffe, Rupert Grint, Emma Watson, Ralph Fiennes, Michael Gambon, Alan Rickman"
3116	Cars	"Animation, Adventure, Comedy, Family"	"Lightning McQueen, a hotshot rookie race car driven to succeed, discovers that life is about the journey, not the finish line, when he finds himself unexpectedly detoured in the sleepy Route 66 town of Radiator Springs. On route across the country to the big Piston Cup Championship in California to compete against two seasoned pros, McQueen gets to know the town's offbeat characters."	6/8/2006	461983149	117	Ahhh... it's got that new movie smell.	G	"Owen Wilson, Paul Newman, Bonnie Hunt, Larry the Cable Guy, Tony Shalhoub, Cheech Marin"
3117	The Departed	"Drama, Thriller, Crime"	"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them."	10/5/2006	289847354	151	Lies. Betrayal. Sacrifice. How far will you take it?	R	"Jack Nicholson, Matt Damon, Jack Nicholson, Mark Wahlberg, Martin Sheen, Ray Winstone"
3118	Ratatouille	"Animation, Comedy, Family, Fantasy"	"A rat named Remy dreams of becoming a great French chef despite his family's wishes and the obvious problem of being a rat in a decidedly rodent-phobic profession. When fate places Remy in the sewers of Paris, he finds himself ideally situated beneath a restaurant made famous by his culinary hero, Auguste Gusteau. Despite the apparent dangers of being an unlikely - and certainly unwanted - visitor in the kitchen of a fine French restaurant, Remy's passion for cooking soon sets into motion a hilarious and exciting rat race that turns the culinary world of Paris upside down."	6/22/2007	623722818	111	He's dying to become a chef.	G	"Patton Oswalt, Ian Holm, Lou Romano, Brian Dennehy, Peter Sohn, Peter O'Toole"
3119	Transformers	"Adventure, Science Fiction, Action"	"Young teenager, Sam Witwicky becomes involved in the ancient struggle between two extraterrestrial factions of transforming robots – the heroic Autobots and the evil Decepticons. Sam holds the clue to unimaginable power and the Decepticons will stop at nothing to retrieve it."	6/27/2007	709709780	144	Their war. Our world.	PG-13	"Shia LaBeouf, Josh Duhamel, Megan Fox, Rachael Taylor, Tyrese Gibson, Jon Voight"
3120	Harry Potter and the Order of the Phoenix	"Adventure, Fantasy, Family, Mystery"	"Returning for his fifth year of study at Hogwarts, Harry is stunned to find that his warnings about the return of Lord Voldemort have been ignored. Left with no choice, Harry takes matters into his own hands, training a small group of students – dubbed 'Dumbledore's Army' – to defend themselves against the dark arts."	6/28/2007	938212738	138	Evil Must Be Confronted.	PG-13	"Daniel Radcliffe, Rupert Grint, Emma Watson, Michael Gambon, Ralph Fiennes, Tom Felton"
3121	The Dark Knight	"Drama, Action, Crime, Thriller"	"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker."	7/16/2008	1004558444	152	Why So Serious?	PG-13	"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, Maggie Gyllenhaal, Gary Oldman"
3122	Star Trek	"Science Fiction, Action, Adventure"	"The fate of the galaxy rests in the hands of bitter rivals. One, James Kirk, is a delinquent, thrill-seeking Iowa farm boy. The other, Spock, a Vulcan, was raised in a logic-based society that rejects all emotion. As fiery instinct clashes with calm reason, their unlikely but powerful partnership is the only thing capable of leading their crew through unimaginable danger, boldly going where no one has gone before. The human adventure has begun again."	5/6/2009	385680446	127	The future begins.	PG-13	"Chris Pine, Zachary Quinto, Leonard Nimoy, Eric Bana, Bruce Greenwood, Karl Urban"
3123	Up	"Animation, Comedy, Family, Adventure"	"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life."	5/13/2009	735099082	96	Fly Up to Venezuela	PG	"Ed Asner, Christopher Plummer, Jordan Nagai, Bob Peterson, Delroy Lindo, Jerome Ranft"
3124	Harry Potter and the Half-Blood Prince	"Adventure, Fantasy, Family"	"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past."	7/7/2009	933959197	153	Dark Secrets Revealed	PG	"Daniel Radcliffe, Rupert Grint, Emma Watson, Tom Felton, Michael Gambon, Jim Broadbent"
